sh600578,600578,京能电力,3.480,-0.07,-1.972
sh600580,600580,卧龙电驱,11.690,-0.13,-1.1
sh600581,600581,八一钢铁,3.200,-0.05,-1.538
sh600582,600582,天地科技,6.020,-0.09,-1.473
sh600583,600583,海油工程,5.350,-0.08,-1.473
sh600584,600584,长电科技,37.000,-0.18,-0.484
sh600585,600585,海螺水泥,24.980,-0.62,-2.422
sh600586,600586,金晶科技,5.370,-0.15,-2.717
sh600587,600587,新华医疗,17.600,-0.29,-1.621
sh600588,600588,用友网络,10.820,-0.11,-1.006
sh600589,600589,广东榕泰,3.170,0.03,0.955
sh600590,600590,泰豪科技,4.920,-0.27,-5.202
sh600595,600595,中孚实业,2.810,-0.06,-2.091
sh600596,600596,新安股份,7.710,-0.15,-1.908
sh600597,600597,光明乳业,8.240,-0.09,-1.08
sh600598,600598,北大荒,14.060,-0.37,-2.564
sh600600,600600,青岛啤酒,67.020,-1.04,-1.528
sh600601,600601,方正科技,3.640,0.24,7.059
sh600602,600602,云赛智联,14.430,-0.04,-0.276
sh600604,600604,市北高新,4.130,-0.16,-3.73
sh600605,600605,汇通能源,29.980,-0.07,-0.233
sh600606,600606,绿地控股,1.930,-0.19,-8.962
sh600609,600609,金杯汽车,4.270,-0.03,-0.698
sh600610,600610,中毅达,4.330,-0.1,-2.257
sh600612,600612,老凤祥,54.980,-2.19,-3.831
sh600617,600617,国新能源,2.510,-0.05,-1.953
sh600618,600618,氯碱化工,8.280,-0.18,-2.128
sh600619,600619,海立股份,9.450,-0.33,-3.374
sh600620,600620,天宸股份,5.180,-0.17,-3.178
sh600621,600621,华鑫股份,14.690,-0.2,-1.343
sh600623,600623,华谊集团,6.660,-0.1,-1.479
sh600629,600629,华建集团,4.910,-0.19,-3.725
sh600633,600633,浙数文化,10.100,-0.08,-0.786
sh600635,600635,大众公用,3.320,-0.05,-1.484
sh600637,600637,东方明珠,7.020,-0.07,-0.987
sh600639,600639,浦东金桥,10.900,-0.56,-4.887
sh600640,600640,国脉文化,11.710,-0.01,-0.085
sh600641,600641,万业企业,14.360,-1.59,-9.969
sh600642,600642,申能股份,7.990,-0.11,-1.358
sh600643,600643,爱建集团,5.390,-0.06,-1.101
sh600645,600645,中源协和,20.010,-0.29,-1.429
sh600648,600648,外高桥,10.810,-0.29,-2.613
sh600649,600649,城投控股,4.350,-0.33,-7.051
sh600651,600651,飞乐音响,3.180,-0.06,-1.852
sh600655,600655,豫园股份,5.640,-0.18,-3.093
sh600657,600657,信达地产,5.200,-0.2,-3.704
sh600658,600658,电子城,4.130,-0.21,-4.839
sh600660,600660,福耀玻璃,56.860,1.15,2.064
sh600662,600662,外服控股,4.650,0.01,0.216
sh600663,600663,陆家嘴,9.870,-0.34,-3.33
sh600664,600664,哈药股份,3.640,-0.13,-3.448
sh600667,600667,太极实业,6.010,-0.08,-1.314
sh600673,600673,东阳光,7.580,-0.2,-2.571
sh600674,600674,川投能源,17.680,-0.33,-1.832
sh600675,600675,中华企业,2.840,-0.16,-5.333
sh600681,600681,百川能源,3.460,-0.06,-1.705
sh600682,600682,南京新百,5.970,-0.08,-1.322
sh600685,600685,中船防务,24.720,-0.7,-2.754
sh600686,600686,金龙汽车,12.480,1.02,8.901
sh600688,600688,上海石化,2.770,-0.06,-2.12
sh600690,600690,海尔智家,30.280,-0.52,-1.688
sh600691,600691,阳煤化工,2.000,-0.07,-3.382
sh600694,600694,大商股份,17.790,-0.51,-2.787
sh600696,600696,岩石股份,10.190,-1.1,-9.743
sh600699,600699,均胜电子,15.720,-0.21,-1.318
sh600702,600702,舍得酒业,61.280,-2.35,-3.693
sh600703,600703,三安光电,12.220,-0.05,-0.407
sh600704,600704,物产中大,4.740,-0.16,-3.265
sh600705,600705,中航产融,3.300,-0.03,-0.901
sh600707,600707,彩虹股份,6.760,-0.04,-0.588
sh600708,600708,光明地产,2.270,-0.11,-4.622
sh600710,600710,苏美达,8.580,-0.04,-0.464
sh600713,600713,南京医药,4.650,-0.05,-1.064
sh600717,600717,天津港,4.690,-0.1,-2.088
sh600718,600718,东软集团,9.700,0.01,0.103
sh600720,600720,中交设计,9.520,-0.22,-2.259
sh600724,600724,宁波富达,3.800,-0.16,-4.04
sh600726,600726,华电能源,2.170,-0.03,-1.364
sh600728,600728,佳都科技,4.560,0.02,0.441
sh600729,600729,重庆百货,21.450,-1.75,-7.543
sh600732,600732,爱旭股份,8.830,-0.09,-1.009
sh600733,600733,北汽蓝谷,7.230,0.13,1.831
sh600734,600734,实达集团,3.120,-0.06,-1.887
sh600736,600736,苏州高新,4.630,-0.16,-3.34
sh600737,600737,中粮糖业,10.240,-0.17,-1.633
sh600739,600739,辽宁成大,10.840,-0.23,-2.078
sh600740,600740,山西焦化,4.030,-0.08,-1.946
sh600741,600741,华域汽车,16.080,-0.59,-3.539
sh600742,600742,一汽富维,8.240,-0.1,-1.199
sh600744,600744,华银电力,3.110,-0.06,-1.893
sh600745,600745,闻泰科技,30.910,0.23,0.75
sh600746,600746,江苏索普,6.860,-0.07,-1.01
sh600748,600748,上实发展,3.080,-0.13,-4.05
sh600750,600750,江中药业,21.470,-0.47,-2.142
sh600751,600751,海航科技,2.390,-0.05,-2.049
sh600754,600754,锦江酒店,26.940,-0.74,-2.673
sh600755,600755,厦门国贸,6.980,-0.16,-2.241
sh600757,600757,长江传媒,8.640,-0.19,-2.152
sh600758,600758,辽宁能源,3.110,-0.06,-1.893
sh600759,600759,洲际油气,2.240,-0.05,-2.183
sh600760,600760,中航沈飞,45.650,0.06,0.132
sh600761,600761,安徽合力,18.040,-0.25,-1.367
sh600763,600763,通策医疗,49.350,-0.63,-1.261
sh600764,600764,中国海防,25.150,0.16,0.64
sh600765,600765,中航重机,19.750,-0.06,-0.303
sh600770,600770,综艺股份,3.780,0.34,9.884
sh600771,600771,广誉远,19.150,-0.52,-2.644
sh600773,600773,西藏城投,11.120,-0.47,-4.055
sh600775,600775,南京熊猫,8.670,-0.12,-1.365
sh600776,600776,东方通信,10.540,0.08,0.765
sh600779,600779,水井坊,40.160,-0.95,-2.311
sh600780,600780,通宝能源,5.550,-0.12,-2.116
sh600782,600782,新钢股份,3.570,-0.1,-2.725
sh600783,600783,鲁信创投,12.420,-0.18,-1.429
sh600787,600787,中储股份,4.990,-0.09,-1.772
sh600789,600789,鲁抗医药,7.790,0.03,0.387
